Volume (pixel^3),Surface (pixel^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (pixel),SD dist. to surf. (pixel),Median dist. to surf. (pixel),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
534,646,534,296,206124,386.000,0.000,386,386,386,476.672,313.779,17.094,5.661,2.130,5.722,476.671,313.779,17.094,471,308,11,13,15,13
1185,1032,1185,500,528510,446.000,0.000,446,446,446,328.378,361.531,18.527,6.684,1.836,6.630,328.379,361.531,18.527,325,351,11,9,22,18
1407,1334,1407,789,674348,479.281,14.920,468,468,499,81.805,496.758,18.480,6.408,1.764,6.576,81.797,496.783,18.564,73,491,11,18,15,13
67,142,67,65,26331,393.000,0.000,393,393,393,113.836,27.731,16.731,2.637,1.144,2.604,113.836,27.731,16.731,111,27,12,5,3,11
407,512,407,217,154660,380.000,0.000,380,380,380,43.966,154.727,16.600,4.310,0.854,4.315,43.966,154.727,16.600,40,150,12,10,11,11
6770,3524,6770,1730,3906290,577.000,0.000,577,577,577,411.748,166.649,28.701,12.049,2.669,11.517,411.746,166.652,28.701,400,155,12,25,25,35
1048,1038,1048,503,516664,493.000,0.000,493,493,493,46.740,175.014,20.484,6.381,1.715,6.263,46.739,175.014,20.484,40,170,12,14,14,19
2340,1610,2340,898,1474200,630.000,0.000,630,630,630,276.816,268.110,26.675,8.658,2.431,8.593,276.816,268.110,26.675,272,259,12,14,20,24
558,558,558,280,175212,314.000,0.000,314,314,314,263.423,292.172,16.292,4.860,0.920,4.768,263.422,292.172,16.292,258,287,12,11,10,12
3308,1860,3308,923,1640768,496.000,0.000,496,496,496,33.905,316.144,22.588,9.239,1.701,8.984,33.905,316.144,22.588,23,307,12,20,19,25
4003,2866,4003,1459,2577932,644.000,0.000,644,644,644,43.925,347.751,33.174,10.995,3.611,10.853,43.924,347.750,33.174,38,333,12,17,27,41
3621,2206,3621,1128,2292093,633.000,0.000,633,633,633,241.033,378.998,28.807,9.824,2.249,9.670,241.033,378.999,28.807,232,370,12,22,19,27
