@relation TWS-3D-v3.3.1-grayscale

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute class {Cell,Background,Garbage}

@data
228,169.223724,-3.24695,-5.290781,-15.02354,-76.681061,192.359879,123.582344,-0.633255,-0.096664,0.038321,0.013503,0.000497,82.538033,-0.003697,-0.000913,0.000063,0.000006,-0.000001,57.34383,-0.005107,-0.000009,-0,-0,-0,Cell
255,178.382919,-2.6811,-2.588547,-6.5108,-68.918983,263.371216,123.007828,-0.415923,-0.099185,0.014638,0.020591,0.012958,86.071175,0.004015,-0.000368,0.000062,0.000004,-0.000001,58.762646,-0.003516,-0.000011,-0,-0,-0,Cell
171,150.896317,-2.177149,1.710335,22.934978,78.773819,-360.885681,115.300018,-0.061533,-0.036848,-0.011475,0.008408,0.000469,89.252487,0.013243,0.000327,0.000052,0,-0.000001,60.029922,-0.001969,-0.000014,-0,-0,-0,Cell
73,106.840935,2.981814,3.158357,-2.408787,44.972939,-42.207909,103.575157,0.231258,0.058561,-0.030432,-0.012615,0.002548,92.364662,0.023631,0.001021,0.000038,-0.000004,-0,61.106583,-0.000538,-0.000018,-0,-0,-0,Cell
62,75.991844,5.471952,3.955765,-15.382887,-236.683167,283.530304,93.849571,0.312142,0.125236,-0.032309,-0.026242,0.015136,95.656158,0.034882,0.001526,0.000022,-0.000006,0,61.957039,0.000713,-0.000022,-0,-0,0,Cell
62,64.114471,2.678507,1.999685,9.65642,114.62719,-213.572495,92.048531,0.196399,0.129293,-0.012794,-0.023864,0.004152,99.212845,0.046626,0.001686,0.000004,-0.000007,0,62.549984,0.001728,-0.000026,-0,-0,0,Cell
70,69.123787,-0.057794,-2.574113,0.285899,154.594711,72.145721,101.350517,0.046638,0.078915,0.010952,-0.004731,-0.016555,102.87677,0.058107,0.001439,-0.000016,-0.000006,0,62.859371,0.002467,-0.00003,-0,-0,0,Cell
63,99.583275,-1.973451,0.462427,-4.809766,-160.584732,79.014732,120.748077,0.043392,0.00933,0.013675,0.020042,-0.011347,106.249321,0.067909,0.000849,-0.000041,-0.000003,0,62.865677,0.002906,-0.000033,-0,0,0,Cell
178,156.709625,-0.813136,-2.431316,4.976979,51.123985,-176.734818,144.703598,0.255364,-0.04073,-0.002665,0.028429,0.011534,108.767517,0.073958,0.000085,-0.000066,0,0,62.557144,0.003036,-0.000036,-0,0,0,Cell
248,211.822433,1.480519,-0.835654,-2.143576,24.344687,68.050659,164.540497,0.589949,-0.054839,-0.008681,0.00756,0.013523,109.835495,0.073944,-0.000639,-0.000085,0.000002,0,61.930592,0.002867,-0.000039,-0,0,0,Cell
